Allocation Id,data_name,writer_lru,receiver_lrus,instance_dimension,signal_id,Message ID,message_or_label,start bit,stop bit,encoding,unit,scale,resolution,minimum,maximum,update_period_ms,validity,notes,On aircraft ?,On FND ?,On Sim ?
DBUS-ICM-001,Power Lever RVDT,ICM,FCC;BPM,,SIG-007,TBD,TBD,TBD,TBD,TBD,,,,,,20,"Frame checksum, plus receiver freshness timeout",,TBD,TBD,TBD
DBUS-ICM-001-B,Power Lever Potentiometer,ICM,FCC;BPM,,SIG-010,TBD,TBD,TBD,TBD,TBD,,,,,,20,"Frame checksum, plus receiver freshness timeout",,TBD,TBD,TBD
DBUS-ICM-001-C,Power Lever Idle Proximity,ICM,FCC;BPM,,SIG-011,TBD,TBD,TBD,TBD,TBD,,,,,,20,"Frame checksum, plus receiver freshness timeout",,TBD,TBD,TBD
DBUS-ICM-002,Turbine operational mode,ICM,FCC;BPM,,SIG-014,TBD,TBD,TBD,TBD,TBD,,,,,,20,"Frame checksum, plus receiver freshness timeout",,TBD,TBD,TBD
DBUS-ICM-003,Turbine override start,ICM,FCC;BPM,,SIG-067,TBD,TBD,TBD,TBD,TBD,,,,,,20,"Frame checksum, plus receiver freshness timeout",,TBD,TBD,TBD
DBUS-ICM-004,Electric motor stop,ICM,FCC;BPM,,SIG-066,TBD,TBD,TBD,TBD,TBD,,,,,,20,"Frame checksum, plus receiver freshness timeout",,TBD,TBD,TBD
DBUS-ICM-005,Nacelle ON/OFF switch,ICM,FCC;BPM,,SIG-065,TBD,TBD,TBD,TBD,TBD,,,,,,20,"Frame checksum, plus receiver freshness timeout",,TBD,TBD,TBD
DBUS-ICM-006,Flap lever position,ICM,FCC;BPM,,SIG-012,TBD,TBD,TBD,TBD,TBD,,,,,,20,"Frame checksum, plus receiver freshness timeout",,,,
DBUS-ICM-007,Landing gear deploy handle,ICM,FCC;BPM,,SIG-104,TBD,TBD,TBD,TBD,TBD,,,,,,20,"Frame checksum, plus receiver freshness timeout",,,,
DBUS-ICM-008,Landing gear alternate deploy handle,ICM,FCC;BPM,,SIG-105,TBD,TBD,TBD,TBD,TBD,,,,,,20,"Frame checksum, plus receiver freshness timeout",,,,
DBUS-ICM-009,Landing gear steering handle,ICM,FCC;BPM,,SIG-106,TBD,TBD,TBD,TBD,TBD,,,,,,20,"Frame checksum, plus receiver freshness timeout",,,,
