Allocation Id,Data name,Sender,Receiver,Instance dimension,Signal Id,Message ID,Label,Start bit,Stop bit,Encoding,Unit,Scale,Resolution,Minimum,Maximum,Refresh period (ms),Validity,Notes,On aircraft ?,On FND ?,On Sim ?
DBUS-FMS-001,Present position latitude,FMS,DCU;FCC,,SIG-157,310,,TBD,TBD,BNR,deg,,,,,200,"Sign / status matrix in the word, plus receiver freshness timeout",Label is provisional: taken from published ARINC 429 convention and to be confirmed against ARINC 429 and ARINC 702A before release.,Yes,TBD,TBD
DBUS-FMS-002,Present position longitude,FMS,DCU;FCC,,SIG-158,311,,TBD,TBD,BNR,deg,,,,,200,"Sign / status matrix in the word, plus receiver freshness timeout",Label is provisional: taken from published ARINC 429 convention and to be confirmed against ARINC 429 and ARINC 702A before release.,Yes,TBD,TBD
DBUS-FMS-003,Ground speed,FMS,DCU;FCC,,SIG-159,312,,TBD,TBD,BNR,kt,,,,,200,"Sign / status matrix in the word, plus receiver freshness timeout",Label is provisional: taken from published ARINC 429 convention and to be confirmed against ARINC 429 and ARINC 702A before release.,Yes,TBD,TBD
DBUS-FMS-004,Track angle true,FMS,DCU;FCC,,SIG-160,313,,TBD,TBD,BNR,deg,,,,,200,"Sign / status matrix in the word, plus receiver freshness timeout",Label is provisional: taken from published ARINC 429 convention and to be confirmed against ARINC 429 and ARINC 702A before release.,Yes,TBD,TBD
DBUS-FMS-005,Wind speed,FMS,DCU;FCC,,SIG-161,315,,TBD,TBD,BNR,kt,,,,,200,"Sign / status matrix in the word, plus receiver freshness timeout",Label is provisional: taken from published ARINC 429 convention and to be confirmed against ARINC 429 and ARINC 702A before release.,Yes,TBD,TBD
DBUS-FMS-006,Wind direction,FMS,DCU;FCC,,SIG-162,316,,TBD,TBD,BNR,deg,,,,,200,"Sign / status matrix in the word, plus receiver freshness timeout",Label is provisional: taken from published ARINC 429 convention and to be confirmed against ARINC 429 and ARINC 702A before release.,Yes,TBD,TBD
DBUS-FMS-007,Desired track,FMS,DCU;FCC,,SIG-163,114,,TBD,TBD,BNR,deg,,,,,200,"Sign / status matrix in the word, plus receiver freshness timeout",Label is provisional: taken from published ARINC 429 convention and to be confirmed against ARINC 429 and ARINC 702A before release.,Yes,TBD,TBD
DBUS-FMS-008,Cross track distance,FMS,DCU;FCC,,SIG-164,116,,TBD,TBD,BNR,NM,,,,,200,"Sign / status matrix in the word, plus receiver freshness timeout",Label is provisional: taken from published ARINC 429 convention and to be confirmed against ARINC 429 and ARINC 702A before release.,Yes,TBD,TBD
DBUS-FMS-009,Vertical deviation,FMS,DCU;FCC,,SIG-165,117,,TBD,TBD,BNR,ft,,,,,200,"Sign / status matrix in the word, plus receiver freshness timeout",Label is provisional: taken from published ARINC 429 convention and to be confirmed against ARINC 429 and ARINC 702A before release.,Yes,TBD,TBD
DBUS-FMS-010,Roll steering command,FMS,DCU;FCC,,SIG-166,121,,TBD,TBD,BNR,deg,,,,,200,"Sign / status matrix in the word, plus receiver freshness timeout",Label is provisional: taken from published ARINC 429 convention and to be confirmed against ARINC 429 and ARINC 702A before release.,Yes,TBD,TBD
DBUS-FMS-011,Active waypoint bearing,FMS,DCU;FCC,,SIG-167,115,,TBD,TBD,BNR,deg,,,,,200,"Sign / status matrix in the word, plus receiver freshness timeout",Label is provisional: taken from published ARINC 429 convention and to be confirmed against ARINC 429 and ARINC 702A before release.,Yes,TBD,TBD
DBUS-FMS-012,Distance to go,FMS,DCU;FCC,,SIG-168,251,,TBD,TBD,BNR,NM,,,,,200,"Sign / status matrix in the word, plus receiver freshness timeout",Label is provisional: taken from published ARINC 429 convention and to be confirmed against ARINC 429 and ARINC 702A before release.,Yes,TBD,TBD
DBUS-FMS-013,Time to go,FMS,DCU;FCC,,SIG-169,252,,TBD,TBD,BNR,min,,,,,200,"Sign / status matrix in the word, plus receiver freshness timeout",Label is provisional: taken from published ARINC 429 convention and to be confirmed against ARINC 429 and ARINC 702A before release.,Yes,TBD,TBD
DBUS-FMS-014,Active waypoint identifier 1,FMS,DCU;FCC,,SIG-170,301,,TBD,TBD,ISO5,,,,,,200,"Sign / status matrix in the word, plus receiver freshness timeout",Label is provisional: taken from published ARINC 429 convention and to be confirmed against ARINC 429 and ARINC 702A before release.,Yes,TBD,TBD
DBUS-FMS-015,Active waypoint identifier 2,FMS,DCU;FCC,,SIG-170,302,,TBD,TBD,ISO5,,,,,,200,"Sign / status matrix in the word, plus receiver freshness timeout",Label is provisional: taken from published ARINC 429 convention and to be confirmed against ARINC 429 and ARINC 702A before release.,Yes,TBD,TBD
DBUS-FMS-016,Active waypoint identifier 3,FMS,DCU;FCC,,SIG-170,303,,TBD,TBD,ISO5,,,,,,200,"Sign / status matrix in the word, plus receiver freshness timeout",Label is provisional: taken from published ARINC 429 convention and to be confirmed against ARINC 429 and ARINC 702A before release.,Yes,TBD,TBD
DBUS-FMS-017,UTC,FMS,DCU;FCC,,SIG-171,150,,TBD,TBD,BCD,hh:mm:ss,,,,,200,"Sign / status matrix in the word, plus receiver freshness timeout",Label is provisional: taken from published ARINC 429 convention and to be confirmed against ARINC 429 and ARINC 702A before release.,Yes,TBD,TBD
DBUS-FMS-018,Target altitude,FMS,DCU;FCC,,SIG-172,102,,TBD,TBD,BNR,ft,,,,,200,"Sign / status matrix in the word, plus receiver freshness timeout",Label is provisional: taken from published ARINC 429 convention and to be confirmed against ARINC 429 and ARINC 702A before release.,Yes,TBD,TBD
DBUS-FMS-019,Target airspeed,FMS,DCU;FCC,,SIG-173,103,,TBD,TBD,BNR,kt,,,,,200,"Sign / status matrix in the word, plus receiver freshness timeout",Label is provisional: taken from published ARINC 429 convention and to be confirmed against ARINC 429 and ARINC 702A before release.,Yes,TBD,TBD
DBUS-FMS-020,FMS status and fault word,FMS,DCU;FCC,,SIG-174,275,,TBD,TBD,Discrete,,,,,,200,"Sign / status matrix in the word, plus receiver freshness timeout",Label is provisional: taken from published ARINC 429 convention and to be confirmed against ARINC 429 and ARINC 702A before release.,Yes,TBD,TBD
