Allocation Id,Data name,Sender,Receiver,instance_dimension,Signal Id,Message ID,Label,start bit,stop bit,encoding,unit,scale,resolution,minimum,maximum,Refresh rate,validity,notes,On aircraft ?,On FND ?,On Sim ?
DBUS-200,HICU freshness to EMC,HICU,EMC,EM-{n},SIG-221,1Y1,fcc_cmd,63,60,Encoded,,,1,0,15,10,"Frame CRC, plus receiver freshness timeout",DOC=1Y1 DLC8; OEM fcc_freshness,Yes,TBD,TBD
DBUS-201,EPU enable command,HICU,EMC,EM-{n},SIG-222,1Y1,fcc_cmd,59,59,BOOL,,,,,,10,"Frame CRC, plus receiver freshness timeout",OEM epu_en,Yes,TBD,TBD
DBUS-202,HVDC ready set,HICU,EMC,EM-{n},SIG-223,1Y1,fcc_cmd,58,58,BOOL,,,,,,10,"Frame CRC, plus receiver freshness timeout",OEM hv_set,Yes,TBD,TBD
DBUS-203,EMC fault reset command,HICU,EMC,EM-{n},SIG-224,1Y1,fcc_cmd,57,57,BOOL,,,,,,10,"Frame CRC, plus receiver freshness timeout",OEM fault_reset_cmd,Yes,TBD,TBD
DBUS-204,EMC critical monitor override,HICU,EMC,EM-{n},SIG-225,1Y1,fcc_cmd,56,56,BOOL,,,,,,10,"Frame CRC, plus receiver freshness timeout",OEM override,Yes,TBD,TBD
DBUS-205,Electric motor command (HICU to EMC),HICU,EMC,EM-{n},SIG-195,1Y1,fcc_cmd,55,40,INT16,,,,,,10,"Frame CRC, plus receiver freshness timeout",OEM command; mode-dependent torque/speed scale,Yes,TBD,TBD
DBUS-206,Weight on wheels to EMC,HICU,EMC,EM-{n},SIG-226,1Y1,fcc_cmd,39,39,BOOL,,,,,,10,"Frame CRC, plus receiver freshness timeout",OEM wow_status; relayed from FCC,Yes,TBD,TBD
DBUS-207,EMC control mode command,HICU,EMC,EM-{n},SIG-227,1Y1,fcc_cmd,38,37,Encoded,,,1,0,3,10,"Frame CRC, plus receiver freshness timeout",0 Torque;1 Speed;2 Voltage;3 Current,Yes,TBD,TBD
DBUS-208,EMC control level command,HICU,EMC,EM-{n},SIG-228,1Y1,fcc_cmd,36,36,BOOL,,,,,,10,"Frame CRC, plus receiver freshness timeout",0 MCU;1 EPU,Yes,TBD,TBD
DBUS-209,fcc_cmd spare,HICU,EMC,EM-{n},SIG-220,1Y1,fcc_cmd,35,32,Spare,,,,,,10,"Frame CRC, plus receiver freshness timeout",spare,No,TBD,TBD
