Allocation Id,data_name,writer_lru,receiver_lrus,instance_dimension,signal_id,Message ID,message_or_label,start bit,stop bit,encoding,unit,scale,resolution,minimum,maximum,update_period_ms,validity,notes,On aircraft ?,On FND ?,On Sim ?
BSIG-AC-002,Mission definition and constraints,FMS,MMS,,SIG-125,TBD,TBD,TBD,TBD,TBD,,,,,,100,"Sequence number and CRC, plus receiver freshness timeout","Mission retrieval path: the FMS provides the mission to the MMS, not to the FCC directly.",TBD,TBD,TBD
BSIG-AC-003,MMS energy / hybridization strategy,MMS,FCC,,SIG-126,TBD,TBD,TBD,TBD,TBD,,,,,,100,"Sequence number and CRC, plus receiver freshness timeout",The MMS computes the operating mode / hybridization profile from the mission and provides it to the FCC power-management function.,TBD,TBD,TBD
BSIG-AC-004,Weather environmental conditions,DCU,FCC,,SIG-173,TBD,TBD,TBD,TBD,TBD,,,,,,100,"Sequence number and CRC, plus receiver freshness timeout",Relayed by the DCU from the weather radar. The air data part of the environmental picture reaches the FCC directly on the ADC bus.,TBD,TBD,TBD
BSIG-AC-005,Total fuel available,DCU,FMS,,SIG-128,TBD,TBD,TBD,TBD,TBD,,,,,,100,"Sequence number and CRC, plus receiver freshness timeout",Relayed by the DCU from the IMA over the display link.,TBD,TBD,TBD
BSIG-AC-007,Nacelle health and available power,HICU,FCC,,SIG-118,TBD,TBD,TBD,TBD,TBD,,,,,,100,"Sequence number and CRC, plus receiver freshness timeout","Encoding, rate and validity TBD",TBD,TBD,TBD
BSIG-AC-008,HVPDU actual power,HICU,FCC,,SIG-130,TBD,TBD,TBD,TBD,TBD,,,,,,100,"Sequence number and CRC, plus receiver freshness timeout",Relayed by the HICU from the HVPDU; the inbound leg is on the nacelle control bus.,TBD,TBD,TBD
BSIG-AC-009,BTMS temperature target,FMS;FCC,HICU,,SIG-131,TBD,TBD,TBD,TBD,TBD,,,,,,100,"Sequence number and CRC, plus receiver freshness timeout","The HICU relays the target onto the nacelle control bus, on separate legs for the IPTMS and the BTMS. The FMS is a co-writer alongside the FCC.",TBD,TBD,TBD
BSIG-AC-011,BTMS coolant status,HICU,FCC,,SIG-132,TBD,TBD,TBD,TBD,TBD,,,,,,100,"Sequence number and CRC, plus receiver freshness timeout",Relayed by the HICU; the inbound leg is on the nacelle control bus. The IPTMS status is a separate allocation.,TBD,TBD,TBD
BSIG-AC-012,HV line current,HICU,DCU,,SIG-035,TBD,TBD,TBD,TBD,BNR,A,,,,,100,"Sequence number and CRC, plus receiver freshness timeout",Relayed by the HICU from the HVPDU; the inbound leg is on the nacelle control bus.,Yes,TBD,TBD
BSIG-AC-013,HV line voltage,HICU,DCU,,SIG-036,TBD,TBD,TBD,TBD,BNR,V,,,,,100,"Sequence number and CRC, plus receiver freshness timeout",Relayed by the HICU from the HVPDU; the inbound leg is on the nacelle control bus.,Yes,TBD,TBD
BSIG-AC-014,HVPDU EMC feed current,HICU,DCU,EM-{n},SIG-143,TBD,TBD,TBD,TBD,BNR,A,,,,,100,"Sequence number and CRC, plus receiver freshness timeout",Relayed by the HICU from the HVPDU; the inbound leg is on the nacelle control bus. One value per motor controller.,Yes,TBD,TBD
BSIG-AC-015,HVPDU auxiliary feed current,HICU,DCU,,SIG-144,TBD,TBD,TBD,TBD,BNR,A,,,,,100,"Sequence number and CRC, plus receiver freshness timeout",Relayed by the HICU from the HVPDU; the inbound leg is on the nacelle control bus.,Yes,TBD,TBD
BSIG-AC-016,HVPDU temperature,HICU,DCU,,SIG-145,TBD,TBD,TBD,TBD,BNR,degC,,,,,100,"Sequence number and CRC, plus receiver freshness timeout",Relayed by the HICU from the HVPDU; the inbound leg is on the nacelle control bus.,Yes,TBD,TBD
BSIG-AC-017,BTMS loop 1 coolant inlet temperature,HICU,DCU,,SIG-146,TBD,TBD,TBD,TBD,BNR,degC,,,,,100,"Sequence number and CRC, plus receiver freshness timeout","Relayed by the HICU from the BTMS; the inbound leg is on the nacelle control bus. Each BTMS is seen by two HICUs, so the relaying HICU has to be designated to avoid a duplicated report on the backbone.",Yes,TBD,TBD
BSIG-AC-018,BTMS loop 1 coolant outlet temperature,HICU,DCU,,SIG-147,TBD,TBD,TBD,TBD,BNR,degC,,,,,100,"Sequence number and CRC, plus receiver freshness timeout",Relayed by the HICU from the BTMS; the inbound leg is on the nacelle control bus.,Yes,TBD,TBD
BSIG-AC-019,BTMS loop 1 coolant differential pressure,HICU,DCU,,SIG-148,TBD,TBD,TBD,TBD,BNR,,,,,,100,"Sequence number and CRC, plus receiver freshness timeout",Relayed by the HICU from the BTMS; the inbound leg is on the nacelle control bus.,Yes,TBD,TBD
BSIG-AC-020,BTMS loop 2 coolant inlet temperature,HICU,DCU,,SIG-149,TBD,TBD,TBD,TBD,BNR,degC,,,,,100,"Sequence number and CRC, plus receiver freshness timeout",Relayed by the HICU from the BTMS; the inbound leg is on the nacelle control bus.,Yes,TBD,TBD
BSIG-AC-021,BTMS loop 2 coolant outlet temperature,HICU,DCU,,SIG-150,TBD,TBD,TBD,TBD,BNR,degC,,,,,100,"Sequence number and CRC, plus receiver freshness timeout",Relayed by the HICU from the BTMS; the inbound leg is on the nacelle control bus.,Yes,TBD,TBD
BSIG-AC-022,BTMS loop 2 coolant differential pressure,HICU,DCU,,SIG-151,TBD,TBD,TBD,TBD,BNR,,,,,,100,"Sequence number and CRC, plus receiver freshness timeout",Relayed by the HICU from the BTMS; the inbound leg is on the nacelle control bus.,Yes,TBD,TBD
BSIG-AC-023,HVDC assembly state of charge,HICU,DCU,,SIG-163,TBD,TBD,TBD,TBD,BNR,%,,,,,100,"Sequence number and CRC, plus receiver freshness timeout",Relayed by the HICU from the MBMS; the inbound leg is on the nacelle control bus.,Yes,TBD,TBD
BSIG-AC-024,HVDC assembly state of power - charge,HICU,DCU,,SIG-164,TBD,TBD,TBD,TBD,BNR,kW,,,,,100,"Sequence number and CRC, plus receiver freshness timeout",Relayed by the HICU from the MBMS; the inbound leg is on the nacelle control bus.,Yes,TBD,TBD
